City,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
hasaki,35.73,63.0,88,75,6.93
rio grande,-32.03,62.01,55,0,1.01
gillette,44.29,61.0,19,1,14.99
talnakh,69.49,28.4,100,40,8.95
hermanus,-34.42,48.99,94,2,1.01
chicama,-7.84,68.09,64,2,8.79
hofn,64.25,45.75,66,46,6.89
shache,38.42,56.48,36,98,6.08
chilakalurupet,16.08,77.04,88,46,3.49
avarua,-21.21,77.0,73,83,11.41
nakodar,31.13,73.15,31,0,2.64
barrow,71.29,32.0,96,90,12.75
islahiye,37.02,79.0,53,0,8.05
saskylakh,71.92,29.3,97,100,16.75
lorengau,-2.02,82.76,75,72,8.37
tiznit,29.58,73.51,46,0,1.83
iqaluit,63.75,26.6,86,75,9.17
grindavik,63.84,39.2,93,75,5.82
coquimbo,-29.95,57.2,76,75,6.93
arraial do cabo,-22.97,75.2,94,71,8.05
puerto ayora,-0.74,78.8,57,20,16.11
faanui,-16.48,77.76,80,10,17.47
katsuura,35.13,66.2,82,75,9.17
ayan,56.45,49.19,90,100,18.68
rimbey,52.63,77.0,29,75,12.75
gamba,-2.65,75.15,79,43,5.23
lebu,-37.62,49.96,78,100,7.87
majene,-3.54,77.74,83,96,8.5
phalaborwa,-23.94,64.33,82,8,8.55
along,28.17,68.72,88,29,1.41
ponta do sol,32.67,70.0,88,75,12.75
clyde river,70.47,28.4,100,75,6.93
tera,14.01,90.21,34,49,3.27
wangqing,43.32,52.25,85,100,4.07
muroto,33.28,66.2,77,75,5.82
eureka,40.8,91.0,31,75,4.7
portalegre,39.29,72.0,39,100,3.44
guerrero negro,27.98,84.34,37,0,16.8
presidente dutra,-5.29,91.35,28,95,2.46
punta arenas,-53.15,41.0,38,73,17.22
jinchang,38.5,53.87,80,0,3.78
boguchany,58.38,43.12,89,98,4.79
sorong,-0.88,77.14,84,100,5.77
nabire,-3.37,76.26,84,95,3.53
kruisfontein,-34.0,52.0,68,0,1.01
buhovo,42.77,59.0,82,40,4.7
sebring,27.5,77.0,88,75,3.04
ascension,30.22,75.2,78,90,12.75
maningrida,-12.07,75.31,74,28,4.92
turkistan,43.0,51.13,45,83,20.65
the valley,18.22,86.0,66,40,14.99
zuenoula,7.43,74.16,89,94,2.93
alta floresta,-9.88,83.84,49,48,3.11
adeje,28.12,75.2,60,75,14.99
nome,64.5,41.0,70,1,4.7
neiafu,-18.65,80.6,78,40,10.29
kabalo,-6.05,72.73,90,99,2.51
egvekinot,66.32,33.87,81,2,2.28
tuktoyaktuk,69.45,35.6,93,90,6.93
pevek,69.7,36.48,80,1,14.41
ocos,14.51,87.8,74,40,5.82
dzitbalche,20.32,97.52,37,91,2.91
abha,18.22,69.8,21,88,9.73
creston,41.06,60.8,51,90,16.11
thompson,55.74,42.8,87,90,5.82
mandalgovi,45.76,38.08,66,78,5.77
batagay-alyta,67.8,28.6,93,12,1.57
penzance,50.12,57.2,93,83,12.75
palana,59.12,43.86,62,100,4.41
alice springs,-23.7,77.0,10,49,17.22
cidreira,-30.18,62.04,76,0,7.99
avera,33.19,82.0,83,40,9.17
airai,-8.93,60.46,68,0,2.89
tarko-sale,64.92,30.0,92,29,8.5
bowen,-20.02,69.8,68,69,8.05
tevriz,57.51,37.78,87,21,6.46
port elizabeth,-33.92,53.6,71,2,8.05
cabo san lucas,22.89,95.0,49,5,10.29
qaqortoq,60.72,35.6,51,0,1.12
zharkent,44.16,42.71,60,0,1.97
qaanaaq,77.48,13.28,77,4,7.87
narovchat,53.88,49.06,51,87,7.25
asyut,27.18,87.8,25,0,13.87
luganville,-15.53,80.6,74,40,6.93
kahului,20.89,89.6,52,40,19.46
pimampiro,0.4,67.78,54,84,6.35
muncie,40.19,59.0,77,90,9.17
san quintin,30.48,79.21,51,0,12.75
san patricio,19.22,91.4,70,20,11.41
imeni poliny osipenko,52.42,43.05,83,64,3.85
robertsport,6.75,78.94,86,95,7.38
kirkwall,58.98,51.8,81,0,10.29
quatre cocos,-20.21,73.4,83,75,10.29
pemba,-12.97,75.2,83,75,10.29
te anau,-45.42,31.57,93,93,7.4
bingerville,5.36,77.0,94,40,6.93
port hardy,50.7,59.0,77,75,3.36
jamestown,42.1,75.0,56,20,13.87
touros,-5.2,77.0,83,20,9.17
bredasdorp,-34.53,50.0,76,0,6.93
poum,-20.23,71.71,85,100,25.5
akonolinga,3.77,67.37,98,92,2.57
oussouye,12.48,80.6,88,20,2.24
wewak,-3.55,77.88,84,95,10.42
hinganghat,20.57,77.0,88,75,5.37
sorland,67.67,53.69,82,90,12.64
la crosse,43.8,54.0,76,90,10.29
lindi,-10.0,73.62,85,74,3.85
srednekolymsk,67.45,46.13,57,61,4.18
cartagena del chaira,1.33,86.67,59,29,2.35
norman wells,65.28,46.4,81,75,16.11
parana,-31.73,73.99,20,0,1.01
luderitz,-26.65,56.71,60,0,25.43
athabasca,54.72,64.96,44,55,17.72
bilibino,68.05,38.34,71,80,1.7
saint-jovite,46.12,78.01,78,75,2.24
sidi ali,36.1,70.03,54,0,7.65
itoman,26.12,78.8,74,40,6.93
megion,61.03,33.8,90,0,4.47
alofi,-19.06,80.6,78,75,12.75
rajula,21.05,76.46,81,9,5.03
bengkulu,-3.8,75.6,89,33,9.71
orange cove,36.62,91.4,33,1,4.7
melbu,68.5,51.01,89,90,6.6
shumerlya,55.5,48.52,67,96,3.65
la macarena,2.18,86.14,63,48,2.48
kismayo,-0.36,77.31,84,38,13.18
roald,62.58,55.99,100,80,5.82
upernavik,72.79,26.94,93,100,7.9
vestmannaeyjar,63.44,45.34,74,21,8.23
grenaa,56.42,57.2,87,86,3.36
puerto plata,19.79,84.0,79,41,9.95
mar del plata,-38.0,60.8,55,0,4.7
baghdad,33.34,80.6,28,0,9.17
trat,12.5,84.0,68,96,6.58
vanimo,-2.67,81.34,72,91,4.36
varhaug,58.61,55.0,97,95,14.85
shelby,35.2,71.6,49,20,16.11
ternate,0.8,79.92,78,20,2.28
samarai,-10.62,78.58,84,99,17.52
torbay,47.67,64.0,100,75,26.4
juba,4.85,71.42,90,26,3.56
tual,-5.67,80.91,80,100,15.66
tabou,4.42,76.86,90,92,8.39
carnarvon,-24.87,60.8,87,0,11.41
nuuk,64.18,33.8,86,0,6.93
midrand,-25.96,62.6,14,0,5.82
poggibonsi,43.47,55.0,88,0,1.01
port moresby,-9.44,77.0,94,75,11.41
rindal,63.06,53.6,81,97,11.41
nalvo,16.81,72.86,82,100,3.36
san cristobal,7.77,89.6,55,40,12.75
tamandare,-8.76,75.76,83,1,9.64
rawson,-43.3,64.31,30,68,7.09
memari,23.2,84.2,94,40,3.38
bichura,50.59,35.78,83,0,3.53
jaguarao,-32.57,57.16,71,0,8.37
chokurdakh,70.63,37.85,93,42,5.55
biak,-0.91,75.15,81,75,5.06
bafata,12.17,75.67,94,95,4.81
khorixas,-20.37,50.5,46,0,3.65
ribeira brava,32.65,70.0,88,75,12.75
machico,32.7,68.0,88,75,12.75
zhezkazgan,47.8,44.15,59,0,7.47
tura,25.52,73.26,93,100,2.59
moose factory,51.26,57.2,93,90,2.24
haines junction,60.75,45.3,65,3,15.64
cockburn town,21.46,84.2,70,40,17.22
pangnirtung,66.15,33.8,74,75,11.41
akdepe,42.06,50.0,49,0,9.17
funadhoo,6.15,82.6,75,77,9.73
salalah,17.02,77.0,88,20,2.24
inuvik,68.35,37.4,93,90,6.93
kisangani,0.52,73.4,94,45,6.93
east london,-33.02,59.65,62,3,7.61
kalmunai,7.42,79.23,83,100,10.02
mehamn,71.04,48.2,87,100,8.05
saint george,37.1,87.01,11,1,4.7
tingo maria,-9.29,80.06,65,39,1.48
nazas,25.23,85.8,32,44,18.95
fernley,39.61,73.99,16,0,1.99
izumo,35.37,57.2,87,40,8.05
hare bay,48.85,68.0,82,75,9.17
kralendijk,12.15,84.2,74,74,13.87
taltal,-25.4,60.58,62,12,4.85
tazovskiy,67.47,34.63,87,87,10.42
ponta delgada,37.73,68.0,88,20,10.29
bambous virieux,-20.34,73.4,83,75,10.29
komsomolskiy,40.43,60.8,55,98,4.7
xining,36.62,49.33,74,82,1.52
roma,43.21,80.6,51,40,6.93
husavik,66.04,37.4,69,75,9.17
sannat,36.02,69.01,72,0,5.82
bud,39.45,61.0,72,40,3.36
pudozh,61.81,47.05,87,41,5.03
kavaratti,10.57,80.78,78,77,9.19
mount isa,-20.73,64.4,19,55,5.82
colquechaca,-18.67,39.92,86,29,8.75
saint-philippe,-21.36,69.8,73,39,5.82
mayo,38.89,77.0,78,1,14.99
dakar,14.69,84.2,79,40,4.7
pozzuoli,40.83,59.0,93,36,3.36
port-gentil,-0.72,77.0,78,20,10.29
malaya purga,56.56,42.01,92,0,1.74
blind river,46.18,55.4,93,90,9.17
areka,7.07,59.99,84,9,2.17
lashio,22.93,68.47,100,100,1.19
tromso,69.65,46.4,87,75,24.16
narsaq,60.92,35.6,51,0,1.12
vicosa,-20.75,79.21,40,53,5.86
henties bay,-22.12,54.0,83,0,7.67
tahoua,14.89,86.0,55,28,4.7
laguna,38.42,98.01,11,1,9.17
yunyang,33.45,66.42,71,100,1.14
bethel,41.37,73.4,69,1,9.17
beloha,-25.17,67.64,92,3,2.82
novyy urengoy,66.08,34.38,90,83,7.05
ahuimanu,21.44,84.2,62,20,11.41
codrington,-38.27,48.22,79,100,8.05
padang,-0.95,76.78,77,29,4.34
bulgan,48.81,36.52,79,93,1.28
liverpool,53.41,59.0,93,75,5.82
svetogorsk,61.11,48.2,87,18,3.36
cherskiy,68.75,41.77,65,82,17.18
ipixuna,-1.76,75.2,94,75,6.93
vila velha,-20.33,81.0,78,15,14.99
cururupu,-1.83,77.54,81,6,5.01
ciudad bolivar,8.12,82.22,74,95,4.36
shenjiamen,29.96,69.75,71,81,9.13
presidencia roque saenz pena,-26.79,69.71,38,0,7.05
grand gaube,-20.01,73.0,78,83,8.99
bafq,31.61,62.35,41,60,16.31
atar,20.52,89.73,26,0,8.5
kudahuvadhoo,2.67,82.26,74,74,7.09
baruun-urt,46.68,32.65,89,0,5.79
havelock,34.88,77.0,79,57,7.52
santa rosa,14.31,79.0,88,20,2.24
tautira,-17.73,86.0,62,40,4.7
torma,58.81,54.0,93,90,3.36
pacific grove,36.62,75.2,53,1,5.82
dodola,6.98,49.73,82,13,2.3
wabrzezno,53.28,54.0,81,100,1.01
dwarka,22.24,80.8,73,0,10.58
sainte-maxime,43.3,64.0,62,0,4.7
marzuq,14.4,77.81,54,33,2.82
ati,13.22,82.94,55,100,15.48
kautokeino,69.01,45.14,94,79,11.63
provideniya,64.38,35.6,74,90,2.24
richards bay,-28.78,62.13,89,100,3.98
colac,-38.33,48.99,87,100,3.0
longyearbyen,78.22,37.4,93,75,11.41
kunigal,13.02,68.68,95,100,4.76
sao bento do sul,-26.25,64.0,92,16,3.0
key west,24.56,89.6,70,40,6.93
vakhrushev,48.98,57.33,87,100,8.75
antofagasta,-23.65,59.0,72,20,12.75
hay river,60.82,62.6,42,20,14.99
puertollano,38.69,62.01,30,88,3.36
waipawa,-41.41,50.0,46,29,18.34
leh,34.17,41.27,53,0,3.56
cardston,49.2,73.4,27,75,25.28
ankang,32.68,61.81,85,94,1.03
snezhnogorsk,69.19,42.8,100,20,2.24
namibe,-15.2,64.15,83,78,0.45
lagos,6.58,76.28,90,97,4.56
mazatlan,23.22,89.01,79,75,10.29
svetlogorsk,52.63,51.03,69,98,5.21
havoysund,71.0,44.6,87,20,4.7
juneau,58.3,51.8,81,90,11.41
vestmanna,62.16,48.2,87,17,13.87
gravelbourg,49.88,67.14,26,79,12.55
ballina,-28.87,60.01,87,90,1.12
alyangula,-13.85,68.0,94,11,10.49
ranong,9.97,77.2,87,100,10.0
leeton,-34.57,44.6,87,22,3.36
bathsheba,13.22,82.4,78,40,10.29
teahupoo,-17.83,86.0,62,40,4.7
salta,-24.79,69.8,22,0,13.87
tiksi,71.69,31.06,92,19,25.93
hovtashen,40.03,66.2,42,0,5.82
axim,4.87,75.56,91,96,6.8
issoudun,47.0,48.2,87,2,9.17
lahad datu,5.03,75.81,84,100,1.48
ketchikan,55.34,55.4,93,75,6.93
barabash,43.2,55.4,87,75,6.71
chuy,-33.7,54.84,78,0,6.78
miri,4.41,75.2,94,20,2.24
meulaboh,4.14,76.89,86,100,2.59
honningsvag,70.98,48.2,87,90,8.05
port blair,11.67,78.75,86,100,14.67
dingle,11.0,76.73,87,90,2.04
yerakion,37.0,73.99,88,20,4.7
pahrump,36.21,93.0,10,0,5.01
slave lake,55.28,62.6,48,1,19.46
portoviejo,-1.05,78.8,74,40,12.75
bull savanna,17.89,81.68,73,25,7.05
bombay,19.01,80.6,88,40,4.7
nanganga,-10.38,70.23,86,91,5.88
bosaso,11.28,84.79,67,0,3.27
zhigansk,66.77,36.18,83,100,17.96
bar harbor,44.39,64.99,100,90,5.82
pueblo nuevo,23.38,76.44,51,97,1.39
katobu,-4.94,74.66,88,80,3.31
yar-sale,66.83,37.76,85,100,8.84
eyl,7.98,76.86,84,9,14.9
long beach,33.77,86.0,51,1,6.93
ordzhonikidze,52.44,48.38,79,0,6.04
berlevag,70.86,44.6,93,90,8.05
sambava,-14.27,69.67,87,33,9.98
kununurra,-15.77,75.2,94,0,2.24
necochea,-38.55,50.0,82,0,3.6
kangaatsiaq,68.31,33.26,91,100,2.13
coahuayana,18.73,80.6,83,75,17.22
samdrup jongkhar,26.92,69.93,75,1,3.6
koumac,-20.57,70.74,83,96,19.93
lodwar,3.12,88.07,37,45,20.54
birjand,32.87,53.6,25,0,4.7
vao,-22.67,67.86,82,100,21.85
hami,42.8,56.71,34,63,4.79
wukari,7.85,75.06,91,100,4.36
qasigiannguit,68.82,28.4,74,95,11.41
baykit,61.67,30.51,92,35,6.4
canton,23.12,79.0,83,75,2.24
kupang,-10.17,75.2,88,20,4.7
arlit,18.74,97.18,12,79,6.8
alihe,50.57,37.11,82,55,3.53
kapit,2.02,74.05,88,100,1.25
vaitape,-16.52,78.53,79,10,17.52
krasnogvardeyets,52.68,51.08,70,0,3.62
lahaina,20.88,89.6,48,40,16.11
beauchamps,50.01,48.99,70,58,9.15
caravelas,-17.71,75.33,84,0,11.12
buala,-8.14,83.1,71,92,4.03
issenye,-2.0,71.15,72,58,0.83
saint-pierre,-21.34,69.8,73,35,5.82
faya,18.39,69.8,21,75,7.02
boende,-0.22,68.41,98,68,2.35
los llanos de aridane,28.66,75.2,60,12,16.11
west lafayette,40.43,64.4,55,75,12.75
bairnsdale,-37.83,48.0,87,0,3.02
newport,51.59,61.0,95,98,4.36
kodinsk,58.69,42.78,91,100,4.54
paamiut,61.99,36.79,75,0,18.99
takhtamygda,54.1,33.48,92,0,3.09
pemberton,50.32,64.4,68,20,3.4
zhicheng,30.3,64.99,97,100,3.09
whyalla,-33.03,57.2,47,100,3.36
vallenar,-28.57,69.53,31,0,10.29
split,43.51,60.8,72,75,5.82
mahebourg,-20.41,73.4,83,75,10.29
banda aceh,5.56,79.25,75,95,9.71
amurzet,47.7,44.76,87,0,5.35
gat,31.61,79.0,83,0,1.3
cananea,30.95,82.99,19,0,11.59
soyo,-6.13,74.26,82,99,8.23
buraydah,26.33,77.0,36,0,6.93
morden,49.19,59.0,100,75,16.11
kilindoni,-7.91,76.75,81,96,11.07
hokitika,-42.72,44.55,58,83,31.29
broome,42.25,77.0,64,40,11.41
beringovskiy,63.05,41.36,65,62,6.11
saint-joseph,-21.37,69.8,73,35,5.82
maroantsetra,-15.43,69.4,85,55,0.94
maragogi,-9.01,75.27,84,1,9.84
joshimath,30.57,55.53,38,0,3.58
muzhi,65.37,38.48,74,79,9.35
lao cai,22.48,75.2,86,59,0.89
okhotsk,59.38,47.89,73,100,6.82
merauke,-8.47,79.74,79,74,15.46
sao filipe,14.9,81.27,79,33,11.9
polovinnoye,54.79,49.53,94,89,6.51
saurimo,-9.66,67.86,83,93,3.67
lexington,37.99,57.99,100,90,11.41
inongo,-1.95,68.56,97,93,0.51
birecik,37.03,78.8,41,0,5.82
san lorenzo,-25.33,80.6,26,12,8.05
ewa beach,21.32,84.2,66,1,11.41
queanbeyan,-35.35,46.0,100,90,1.99
nouadhibou,20.93,73.4,78,0,13.87
joensuu,62.6,44.6,87,88,3.36
plerin,48.54,60.01,93,100,5.82
aksay,47.26,60.8,44,95,20.13
whitecourt,54.15,64.4,55,75,10.29
vila franca do campo,37.72,68.0,88,20,10.29
pundaguitan,6.37,83.03,73,41,3.15
primo tapia,32.22,82.4,54,1,8.05
agadez,19.75,88.63,12,0,7.23
nemuro,43.32,58.48,80,0,12.64
hobyo,5.35,76.84,88,15,16.51
rundu,-17.93,70.7,20,1,7.31
olafsvik,64.89,37.94,92,99,15.5
dalvik,65.97,37.4,69,75,9.17
kayerkan,69.35,28.4,100,40,8.95
novobiryusinskiy,56.96,36.84,95,42,4.92
cassilandia,-19.11,89.17,21,18,1.16
cabedelo,-6.98,77.0,83,40,9.17
bauchi,10.5,72.59,80,80,1.54
luanda,-8.84,71.6,88,20,4.7
noumea,-22.28,64.4,93,90,8.05
poyarkovo,49.6,41.88,84,9,5.48
lubbock,33.6,68.0,19,75,16.11
altamira,-3.2,87.8,70,40,5.82
sangin,32.07,65.61,24,22,2.01
copiapo,-27.37,59.0,67,0,5.82
promyshlennyy,67.58,34.34,94,100,7.78
jardim,-21.48,75.36,76,0,5.73
aswan,24.09,87.17,19,0,7.67
san francisco,37.77,96.01,13,20,5.14
westport,41.14,75.2,73,1,9.17
keti bandar,24.14,80.91,75,24,10.51
santa cruz,-17.8,80.6,32,25,3.36
mazamet,43.49,55.4,93,0,3.36
abong mbang,3.98,67.82,96,95,3.0
nisia floresta,-6.09,77.0,83,20,9.17
srandakan,-7.94,75.61,86,93,7.16
ucluelet,48.93,68.0,77,5,4.7
fallon,39.47,73.99,18,1,5.82
pedasi,7.53,82.09,70,80,2.26
lasa,46.62,39.2,86,40,5.82
tommot,58.96,36.68,91,98,5.61
chernenko,44.37,63.95,74,90,2.37
aberdeen,57.14,48.2,76,36,6.93
lumphat,13.49,72.09,98,100,0.76
pochutla,15.74,87.01,66,75,11.41
alberton,46.82,68.23,83,90,12.59
ottawa,45.41,79.0,54,40,12.75
yenagoa,4.92,74.89,94,100,4.07
krasnoarmeyskoye,52.72,52.39,63,0,2.8
umba,66.69,48.54,92,71,5.68
chifeng,42.27,46.74,66,94,5.93
belmonte,-15.86,77.0,78,20,10.29
mareeba,-17.0,75.2,73,75,8.05
sisimiut,66.94,31.73,95,97,1.25
aklavik,68.22,37.4,93,90,11.41
huayucachi,-12.13,57.34,55,72,5.17
benicarlo,40.42,59.0,55,0,3.0
moanda,-1.56,68.79,95,79,2.08
buluang,13.31,77.0,84,83,2.44
gambela,8.25,70.16,93,58,2.53
soligalich,59.08,49.42,73,100,6.62
gimli,50.63,55.99,99,96,7.0
areosa,41.72,64.99,72,100,3.36
ekhabi,53.51,50.31,87,92,15.59
saint-augustin,51.23,65.35,78,69,17.38
kulhudhuffushi,6.62,82.36,75,62,9.13
chuguyevka,44.17,52.41,89,100,1.79
xingtai,37.06,69.22,60,99,1.03
gamboma,-1.88,68.81,95,95,2.93
abdulino,53.7,48.7,79,0,3.74
raudeberg,61.99,57.99,88,89,15.39
jumla,29.27,51.89,60,0,4.07
monrovia,6.3,77.0,94,75,6.64
mao,39.89,60.8,77,0,4.7
kloulklubed,7.04,77.0,88,75,5.82
lagoa,39.05,67.5,88,100,19.51
nhamunda,-2.19,86.63,44,34,3.8
hamilton,39.18,57.99,93,90,5.82
najran,17.49,78.8,19,81,6.93
la paz,-16.5,53.6,46,40,12.75
dandong,40.13,59.85,91,100,4.59
rocha,-34.48,48.25,82,0,4.65
ahtopol,42.1,73.99,73,95,3.36
progreso,21.28,89.6,66,75,4.7
maniitsoq,65.42,32.04,88,60,3.74
sassandra,4.95,75.72,93,97,7.16
kayes,14.0,80.96,69,39,2.39
at-bashi,41.17,44.6,52,98,0.65
puerto escondido,15.85,87.8,62,75,17.22
garca,-22.21,86.0,42,46,1.01
denia,38.84,70.0,68,0,7.29
russell,32.35,87.8,48,20,3.36
nanortalik,60.14,35.73,79,0,11.81
lompoc,34.64,73.0,73,1,13.87
brae,60.4,51.8,93,22,9.17
union de tula,19.97,79.81,57,100,3.13
bonthe,7.53,77.23,88,52,4.61
beyneu,45.32,49.73,49,3,5.95
arona,28.1,75.2,60,75,14.99
wick,58.43,44.6,87,0,12.19
luba,3.46,77.0,100,40,6.93
sagu,46.05,55.4,100,100,2.24
moindou,-21.69,64.4,93,90,8.05
oksfjord,70.24,46.4,81,30,12.75
half moon bay,37.46,96.01,87,20,6.93
albanel,48.88,73.4,69,75,11.41
sabang,5.89,82.13,75,81,14.41
hualmay,-11.1,64.13,76,21,9.15
burns lake,54.23,49.66,83,100,4.41
maaseik,51.1,53.01,95,99,1.01
kosa,59.94,46.26,95,88,3.62
suntar,62.14,46.17,82,100,9.62
yumen,40.28,48.22,83,98,7.02
shar,49.59,44.01,68,96,6.67
sakaiminato,35.55,57.2,100,40,5.82
melilla,35.29,71.6,73,2,2.89
qena,26.16,86.0,27,0,2.24
aksarka,66.56,36.63,89,100,8.3
sakaraha,-22.9,70.2,58,0,3.87
bandarbeyla,9.49,77.36,79,28,16.87
north bend,43.41,91.4,26,1,16.11
turukhansk,65.82,29.84,97,0,10.69
seoul,37.57,57.2,100,1,1.45
khani,41.96,73.4,43,1,25.28
sarh,9.14,75.2,94,20,4.45
